Title,Meaning,Context,Notes
HB&E,Health Benefits & Enrollment,,
HBHC,Hospital Based Home Care is now HBHC,,
HBIPS,Hospital Based Inpatient Psychiatric Services,,
HBOC,(One of the largest vendors of hospital system information software),,
HBPC,Home Based Primary Care,,
HBP,Health Benefit Plans,,
HBP,High Blood Pressure,,
HBSS,Host Based Security System,eMASS,HBSS reports are valid Test Results that can be uploaded in eMASS
HC IDM,Healthcare Identity Management,,
HCA E&E,Health Care Applications Enrollment & Eligibility,,
HCA EE,Health Care Applications Enrollment & Eligibility,,
HCA,Heads of Contracting Activity,,
HCA,Health Care Applications,,
H&CBC,Home and Community Based Care,,
HCBC,Home and Community Based Care,,
HCC,Health Care Center,,
HCCSL,Home and Community Care Service Line,,
HCEC,Health Care Ethics Consultant,,
HCEF,Health Care Executive Fellowship,,
HCERA,Health Care and Education Reconciliation Act,,
HCFA,Health Care Financing Administration (CMS as of 7/01),,
HCG,"Human Chorionic Gonadotropin, As In Pregnancy Testing",,
HCHV,Healthcare for Homeless Veterans,,
HC-ISAC,HealthCare Information Sharing and Analysis Center,,
HCLDP,Health Care Leadership Development Program,,
HCLI,Health Care Leadership Institute,,
HCM,Human Capital Management,,
HCMI,Homeless Chronically Mentally Ill,,
HCPCS,Healthcare Common Procedure Coding System,,
HCP,Healthcare Claims Processing,,
HCPM,Health Care Planning Model,,
HCPOA,Health Care Power Of Attorney,,
HCPS,Health Claims Processing System,,
HCPS,Healthcare Common Procedure Coding System,,
HCR,HealthCare Repository,,
HCRV,HealthCare Reentry Veterans,,
HCSDRO,Health Care Staff Development and Retention Office,,
HCS,Health Care System,,
HCSS,Human Capital Systems and Services Office,,
HCTZ,Hydrochlorothiazide,,
HCV,Hepatitis C Virus,,
HDAP,VA Enterprise Cloud Health Data and Analytics Platform (aka Rockies),,
HDD,Health Data Dictionary,,
HD,Hemodialysis,,
HDI,Health Data and Informatics,,
HDL,High Density Lipoprotein,,
HDP,Health Data Platform,,
HDR,Health Data Repository,,
HDR-L,Health Data Repository-Local,,
HDR-N,Health Data Repository - National,,
HDR-P,Health Data Repository Prototype,,
HDS-DE,Health Data Systems-Data Exchange,,
HDS,Health Data Systems,,
HEA,Health Enterprise Architecture,,
HEC HDS-BL,Health Executive Council Health Data Sharing-Business Line,,
HEC IM/IT WG,Health Executive Council Information Management/Information Technology Work Group,,
HEC,Health Eligibility Center,,
HEC,Health Executive Council (VA/DoD),,
HECMS,Health Eligibility Case Management System,,
HEDIS,Health Plan and Employer Data and Information Set,,
HERC,Health Economics Resource Center,,
HERL,Human Engineering Research Laboratories,,
HES,Health Enterprise Strategy,,
HEV,HealtheVet,,
HF,Heart Failure,,
HFMEA,Health Care Failure Mode and Effect Analysis,,
HFR,Hold for Review,,
HFS,Host File System,,
HHA,Homemaker Home Health Aide,,
HHAS,Headquarters Health Administration Services,,
HHC,Home Health Care,,
HH,Home Health,,
HHS,Hand Held Shower,,
HHS,Health and Human Services,,
HHV,Help Hospitalized Veterans,,
HI2,Health Informatics Initiative,,
HIAC,HIPAA Implementation Advisory Council,,
HIA,Health Information Architecture,,
HIC,Health Information Committee,,
HIC,Hospital Incident Command,,
HICR,Hosted Intelligent Call Routing,,
HIDS,Host Based Intrusion Detection System,,
HIDU,Health Information Development Unit,,
HIEA,Health Interoperability Exchange Alliance,,
HIE,Health Information Exchange,,
HIG,Health Information Governance,,
H/I,Homicidal Ideation,,
HIIR,Health Information Integration and Resources,,
HILS,Heterogeneous Information Locator Service,,
HIM,Health Information Management,,
HIMS,Health Information Management Service,,
HIMSS,Healthcare Information and Management Systems Society,,
HINQ,Hospital Inquiry,,
HIOT,High Intensity Outpatient Treatment,,
HIPAA,Health Insurance Portability and Accountability Act,,
HIPDB,Health Integrity & Protection Data Bank,,
HIP,Health Improvement Program,,
HIPS,Host-based Intrusion Prevention System,,
HIRS,Health Information Resources Service,,
HISA,Home Improvement Structural Alterations,,
HISB,Healthcare Informatics Standards Board,,
HISD,Health Information Security Division,,
HISEB,Health Information Systems Executive Boards,,
HIS,Health Informatics Specialist,,
HIS,Health Informatics Strategy,,
HIS,Health Information Sharing,,
HIS,Hospital Information System,,
HISP,Healthcare Internet Service Provider,,
HISPP,Health Care Informatics Standards Planning Panel,,
HISS,Health Information Security Service,,
HITAG,Health Information Technology Advisory Committee,,
HITC,Hines Information Technology Center,,
HITECH,Health Information Technology for Economic and Clinical Health,,
HIT,Health Information Technology,,
HITIDE,Health Information Technology Innovation and Development,,
HITSC,Health Information Technology Standards Committee,,
HITS,Health Information Technology Systems,,
HITS,Health IT Sharing,,
HIT(S),HIPAA Implementation Team(s),,
HITSP,Health Information Technology Standards Panel,,
HIV,Human Immunodeficiency Virus,,
HL7 RIM,Health Level 7 Reference Information Model,,
HL7,Health Level 7 (standard for electronic data exchange/messaging protocol),,
HLA,HealtheLiving Assessment,,
HLD,Hyperlipidemia,,
HLM,Healthy Living Messages,,
HLO,HL7 Optimized,,
HLR,Higher Level Review,A review of a claim by a more senior representative after the claim has been challenged,See Rating Veterans Service Representative (RVSR)
HMIS,History Management Information System,,
HMP,Health Management Platform,,
HNL,Non Hodgkins Lymphoma,,
HOB,Head of Bed,,
HOH,Hard Of Hearing,,
H/O,History of,,
HOLAP,Hybrid On-Line Analytical Processing,,
HOMES,Homeless (Veterans) Operations Management and Evaluation System,,
HON,Honorable,,
HOPTEL,Hospital Hotel,,
HOR,Home of Record,,
HOST (Federal),Healthcare Open Systems and Trials,,
HOST,Hybrid Open Systems Technology,,
HOTN,Hypotension,,
HPACT,Homeless Patient Aligned Care Team,,
HPCC,High Performance Computing and Communications,,
HPC,Hospice Palliative Care,,
HPD,Health Provider Directory,,
HPDM,High Performance Development Model,,
HPDP,Health Promotion Disease Prevention,,
H&PE,History and Physical Examination,,
HP,Hewlett Packard,,
H&P,History and Physical,,
HPID,Health Plan Identifier,,
HPMO,Health Program Management Office,,
HPOES,Health Plan and Other Entity Enumeration System,,
HPPD,Hours Per Patient Day,,
HPS,Health Provider Systems,,
HPSO,Health Program Support Office,,
HQ,Headquarters (used by VHA only),,
HRAC,Healthcare Resource Access Control,,
HRA,Health Risk Assessment,,
HR&A,Human Resources and Administration,,
HRA,Human Resources and Administration,,
HRC,Health Resource Center,,
HRF,Human Readable Form,,
HR,Hour,,
HR,Human Resources,,
HRIS,Human Resources Information Service,,
HRMACS,Human Resources Management and Consulting Services,,
HRM,Human Resources Management,,
HRML,Human Resources Management Letter,,
HRPP,Human Research Protection Programs,,
HRQoL,Health Related Quality of Life,,
HRR,High Risk Report,,
HRSA,Health Resources Services Administration,,
HR&SS,Human Resources and Staffing Services,,
HRT,Harassment Reporting Tool,,
HSC,Health Systems Committee,,
HSD&A,Health Systems Data and Analysis,,
HSD&D,Health Systems Design & Development,,
HSES,Health Systems Executive Service,,
HSHC,Hawaii State Healthcare Corporation,,
HSITES,"Health Systems Implementation, Training, and Enterprise Support",,
HSM,Health Solutions Management,,
HSPC,Healthcare Services Platform Consortium,,
HSPD-12,Homeland Security Presidential Directive 12,,
HSP,Health Standards Profile,,
HSR&D,Health Services Research and Development,,
HSRM,HealthShare Referral Manager,,
HSRO,Health Systems Review Organization,,
HSSI,High Speed Serial Interface,,
HTH,Home Telehealth,,
HT,Home Telehealth,,
HTM,Healthcare Talent Management,,
HTM,Healthcare Technology Management,,
HTML,Hypertext Markup Language,,
HTN,Hypertension,,
HTTP,HyperText Transfer Protocol,,
HTTPS,HyperText Transfer Protocol Secure,,
HUBZONE,Historically Underutilized Business Zone,,
HUCARES,Health Undersecretary's Capital Asset Realignment for Enhanced Services,,
HUD/VASH,Department of Housing and Urban Development/Department of Veterans Affairs Supported Housing,,
HUD-VASH,Housing and Urban Development-Veterans Affairs Supported Housing,,
HUG,Human User Group,,
HUGN,Human Gene Nomenclature,,
HVAC,House Veterans Affairs Committee,,
HVA,Hazards Vulnerability Analysis,,
HVCC,Home Valuation Code of Conduct,,
HVCES,Homeless Veteran Community Employment Services,,
HVLT,Hopkins Verbal Learning Test,,
HVRP,Homeless Veterans' Reintegration Program,,
HVSEP,Homeless Veterans Supported Employment programs,,
HVT,HealtheVet,,
HWBP,Heparin Weight Based Protocol,,
HWSC,HealtheVet Web Service Client,,
HWY,Hallway,,
HX,History or History of,,
I2TP,Joint DoD/VA Healthcare Information Interoperability Technical Package,,
IAA,"Identification, Authentication, and Authorization",,
IAA,Inter-Agency Agreement,,
IaaS,Infrastructure as a Service,,
IAB,Initial Assessment and Briefing,,
IACUC,Institutional Animal Care and Use Program,,
IADL,Instrumental Activities of Daily Living,,
IADS,Initial Architecture and Interface Design Strategy,,
IADT,Initial Active Duty for Training,,
IAE,Interim Address Enhancements,,
IAF,Interoperability Alignment Framework,,
IA,"Identification, Authentication",,
IA,Information Assurance,,
IA,Information Assurance Analyst,,
IA,Integration Agreement,,
IA,Interagency Agreement,,
IAL,Identity Assurance Level,,
IAM,Identity and Access Management,,
IAP,Information Access and Privacy,,
IAS,Internal Audit Service,,
IASR,integrated Architecture Summary Report,,
IATO,Interim Authority to Operate,,
IAW,In Accordance With,,
IBBA,Intranet BDN/BIRLS Access,,
IB,Incident Briefing,,
IB,Insurance Buffer,,
IB,Integrated Billing,,
IBM,International Business Machines,,
IBPE,Internal Business Partner Extranet,,
IBRD,integrated Business Requirements Document,,
IBR,Integrated Baseline Review,,
IBRM,integrated Business Reference Model,,
ICAM,"Identity, Credential, and Access Management",,
ICARE,"Integrity, Compassion, Advocacy, Respect & Excellence",,
ICB,Information Collection Budget,,
ICB,Insurance Capture Buffer,,
ICB,Insurance Card Buffer,,
ICCD,International Change Control Board,,
ICD-10 CM,"International Classification of Diseases, 10th Edition, Clinical Modifications",,
"ICD-9, ICD-10","International Classification of Diseases, Ninth or Tenth Revision",,
ICD-9-CM,International Classification of Diseases--9th edition--Clinical Modification,,
ICDB,Interoperative Clinical Database,,
ICD,Informed Consent Document,,
ICD,Insurance Claims Division,,
ICD,Interface Control Document,,
ICD,International Classification of Diseases,,
ICD,ISO Consultation Division,,
ICDR,Interactive Clinical Data Repository,,
ICE,In Case Of Emergency,,
ICFM,Integrated Collections Forecasting Model,,
ICFS,"Infrastructure, Common Services, and Foundations",,
ICIB,Interagency Clinical Informatics Board,,
ICIDH-2,"International Classification of Impairments, Activities & Participation",,
ICIDH,"International Classification of Impairments, Disabilities & Handicaps",,
ICL,Isolated Customer LAN,,
ICMHS,Intake Conversion Mail Handling Services,,A contract to help the VA shift from a paper-based claims process to an electronic system (source: https://washingtontechnology.com/2017/11/csra-wins-158m-va-digital-record-order/343229/)
ICN,Integration Control Number,,
ICOM,"Inputs, controls, outputs and mechanisms",,
ICOO,Internal Controls over Operations,,
ICP,Infection Control Professional,,
ICP,Interagency Comprehensive Plan,,
ICP,Intermittent Catheterization Protocol,,
ICPT,Integrated Clinical Program Review Team,,
ICRA,Infection Control Risk Assessment,,
ICR,Immunology Case Registry,,
ICR,Integration Control Registration,,
ICR,Intelligent Character Recognition,claims processing,scanning handwriting for contentions
ICS,Incident Command System,,
ICS,Integrated Campus Support,,
ICS,Internal Controls Service,,
ICTAP,Interagency Career Transition Assistance Program,,
ICU,Intensive Care Unit,,
ICWG,Internal Control Work Group,,
IDC,Interim Data Center,,
IDCU,Integrated Data Communications Utility,,
IDD,Interface Design Document,,
IDE,Integrated Development Environment,,
IDE,Integrated Drive Electronics,,
IDES,Integrated Disability Evaluation System,,
ID,Identification,,
I&D,Incision and drainage,,
ID,Incision and drainage,,
IDIQ,Indefinite Delivery/Indefinite Quantity,,
IDL,Interface Definition Language,,
IDL,Iterative Development Lifecycle,,
IDMC,Informatics & Data Management Committee,,
IDM,Identity Management,,
IDM,Independent Domiciliary (independently operated and non managed by MC),,
IDMS,Identity Management System,,
IDP,Individual Development Plan,,
IDPO,Infectious Disease Program Office,,
IDRP,Innovation and Development Request Portal,,
IDS,Intrusion Detection Systems,,
IDT,Interactive Decision Template,appeals,
IDT,Interdisciplinary Team,,
IDTP,Intensive Day Treatment Program,,
IE POC,IntegratedEthics Point of Contact,,
IEAB,IntegratedEthics Advisory Board,,
IEC,IntegratedEthics Council,,
IED,Improvise Explosive Device,,
IEDS,Investment & Enterprise Development Service,,
IEEE1073,Electrical and Electronics Engineers 1073,,
IEEE,Institute of Electrical and Electronics Engineers,,
iEHR,integrated Electronic Health Record(s),,
IE,Interface Engine,,
IEN,Internal Entry Number,,
IEPD,Information Exchange Package Documentation,,XML schema for VBMS-R
IEPO,IntegratedEthics Program Officer,,
IER,Information Exchange Requirements,,
IESS,IntegratedEthics Staff Survey,,
IETF,Internet Engineering Task Force,,
iFAMS,Integrated Financial and Acquisition Management System,,
IFAS,Integrated Financial Accounting System,,
IFB,Invitation for Bids,,
IFCAP,"Integrated Funds Control, Accounting, and Procurement",,
IFC,Interfacility Consult,,
IFC,Interferential Current,,
IFMB,Integrated Financial Management Board,,
IFMC,Iowa Foundation for Medical Care,,
IFM,Ineligible due to Forms Missing,,
IFMS,Integrated Financial Management Standard,,
IFMT,Integrated Flow Management Tool,,
IFN,Item(s) For Negotiation,,
IFR,Institution File Redesign,,
IFR,Interim Final Rule,,
IGCE,Independent Government Cost Estimate,,
IG,Inspector General,,
IGUI,integrated Graphical User Interface,,
IHDR,Interactive Health Data Repository,,
IHE,Integrating the Healthcare Enterprise,,
IHI,Institute for Healthcare Improvement,,
IH,Industrial Hygienist,,
IHOP,Integrated Health Operating Plan,,
IHP,Informal Hearing Presentation,appeals,prepared by VSO for Veterans who have not elected a hearing
IHP,Internal High Priority,,
IHS,Indian Health Service,,
IHS,Integrated Hospital System,,
IHSS,In-Home Supportive Services,,
IHTSDO,International Health Terminology Standards Development Organization,,
I&I Laboratory,Integration and Interoperability Laboratory,,
IIA,Institute of Internal Auditors,,
IICU,Intermediate Intensive Care Unit,,
IIHI,Individually Identifiable Health Information,,
IIMR,integrated Information Model Report,,
IIOP,Internet Inter-ORB Protocol,,
IIP,Informatics Innovation Project,,
IIP,Information Interoperability Plan,,
IIP,VA Innovation Intern Program,,
IIS,Immunization Information System,,
IIS,Information Infrastructure Systems,,
IIS,Internet Information Servers,,
IITMB,Integrated Information Technology Management Board,,
II&V,Insurance Identification and Verification,,
IIV,Insurance Identification and Verification,,
IKE,Internet Key Exchange,,
ILER,Individual Longitudinal Exposure Record,,
IL,Information Letter,,
ILL,Interlibrary Loan,,
ILN,Incidental Lung Nodules,,
ILO,In lieu of,,
ILSM,Interim Life Safety Measures,,
